ALERTAS_INFANCIA,count
99999,54546
16- No aplica,1733
1- Esquema vacunacion incompleto para la edad,157
7- Menor de 6 anos sin control de crecimiento y desarrollo,22
1- Esquema vacunacion incompleto para la edad | 7- Menor de 6 anos sin control de crecimiento y desarrollo,8
2- Menor de 6 meses sin lactancia materna,2
14- Accidente casero en el ultimo mes,2
12- Nino/a con ingreso recurrente a servicio de urgencias,1
1- Esquema vacunacion incompleto para la edad | 2- Menor de 6 meses sin lactancia materna,1
5- Alteraciones del desarrollo infantil sin seguimiento,1
