BARRIO.1,count
99999,17553
SANTA INES,779
SANTA FE,551
RESTREPO,382
CANDELARIA LA NUEVA,366
VOTO NACIONAL,332
PERDOMO,321
LA CAPUCHINA,296
LA PEPITA,295
SAN CARLOS,292
LA PAZ,287
SIETE DE AGOSTO,274
EL CARMEN,273
MARIA PAZ,260
LISBOA,259
LA ESTANCIA,236
LA CATEDRAL,226
SIERRA MORENA,222
SAN FRANCISCO,215
SAN BERNARDINO,215
SANTA RITA DE SUBA,211
SAN PABLO,211
DOCE DE OCTUBRE,208
EL AMPARO,199
PORVENIR,197
SAN JOSE II SECTOR,195
VERACRUZ,192
PATIO BONITO,190
JORGE ELIECER GAITAN,187
VEINTE DE JULIO,185
