Columna,Tipo,No_Nulos,Nulos,Pct_Nulos,Valores_Unicos
BASE_ORIGEN,object,56473,0,0.0,5
FECHA_INTERVENCION,datetime64[ns],56473,0,0.0,1233
LOCALIDAD_FIC,object,56473,0,0.0,20
RED_FIC,object,56473,0,0.0,8
LOCALIDAD,object,56473,0,0.0,21
ZONA_LABEL,object,56473,0,0.0,1
ZONA,object,56473,0,0.0,3
BARRIO,object,56473,0,0.0,2920
UPZ_UPR_ALIAS,float64,46821,9652,17.09,119
UPZ/UPR,float64,46821,9652,17.09,119
SEXO_LABEL,object,56473,0,0.0,3
SEXO,object,56473,0,0.0,4
ESTRATO_SOCIOECONÓMICO_LABEL,object,56473,0,0.0,4
ESTRATO_SOCIOECONÓMICO,object,56473,0,0.0,7
ESTADO_CIVIL,object,56473,0,0.0,4
EDAD,float64,31745,24728,43.79,19
RANGO_EDAD,category,31745,24728,43.79,5
¿EN_DONDE_REALIZA_PRINCIPALMENTE_SU_TRABAJO?,object,56473,0,0.0,8
LUGAR_TRABAJO_LABEL,object,56473,0,0.0,8
AFILIACIÓN_AL_SGSSS_LABEL,object,56473,0,0.0,6
AFILIACIÓN_AL_SGSSS,object,56473,0,0.0,6
FLAG_AFILIACION_SGSSS,float64,41656,14817,26.24,2
ESTADO_RESULTADO,object,56473,0,0.0,3
TIPO_INTERVENCION,object,56473,0,0.0,4
PERFIL,object,56473,0,0.0,7
TIPO_INTERVENCIÓN,object,56473,0,0.0,6
.INFORMACIÓN_DEL_MENOR.,float64,8075,48398,85.7,7945
SUB-SECCIÓN_=>_INFORMACIÓN_DEL_MENOR_NNA_IDENTIFICADO_COMO_TRABAJADOR,float64,0,56473,100.0,0
NACIONALIDAD,object,56473,0,0.0,17
GENERO,object,56473,0,0.0,4
FECHA_DE_NACIMIENTO,object,56473,0,0.0,7334
CURSO_DE_VIDA,object,56473,0,0.0,5
ETNIA,object,56473,0,0.0,6
POBLACIÓN_DIFERENCIAL_Y_DE_INCLUSIÓN,object,56473,0,0.0,13
.PERSONAS_A_CARGO.,float64,4025,52448,92.87,4
OCUPACIÓN,object,56473,0,0.0,14
IDNIVELEDUCATIVO,object,56473,0,0.0,12
RAZONABANDONOESCOLAR,object,56473,0,0.0,6
CATEGORÍAS_DE_LA_DISCAPACIDAD,object,173,56300,99.69,6
HABLA_ESPAÑOL,object,56473,0,0.0,4
PUEBLO,object,56473,0,0.0,10
VÍNCULO_CON_EL_JEFE_DE_HOGAR,object,56473,0,0.0,15
NOMBRE_EAPB,object,56473,0,0.0,331
ESPECIAL,float64,32,56441,99.94,11
BARRIO_PRIORIZADO,object,56473,0,0.0,5
MANZANA_DEL_CUIDADO,object,56473,0,0.0,5
NUMERO_DE_MANZANA_DEL_CUIDADO,object,56473,0,0.0,19
ESTRATO,object,56473,0,0.0,7
SUBGRUPO_SISBEN,object,56473,0,0.0,5
VEREDA,object,56473,0,0.0,3
ÚLTIMA_INTERVENCIÓN,float64,0,56473,100.0,0
FECHA_DE_LA_ÚLTIMA_INTERVENCIÓN,object,56473,0,0.0,227
SUB-SECCIÓN_=>_INFORMACIÓN_DEL_ACUDIENTE,float64,0,56473,100.0,0
AFILIACIÓN_AL_SGSSS.1,object,56473,0,0.0,6
NOMBRE_EAPB.1,object,56473,0,0.0,291
SUB-SECCIÓN_=>_INFORMACIÓN_LABORAL,float64,0,56473,100.0,0
ZONA.1,object,56473,0,0.0,3
ESPECIAL.1,float64,52,56421,99.91,5
LOCALIDAD.1,object,56473,0,0.0,21
UPZ/UPR.1,float64,38815,17658,31.27,110
BARRIO.1,object,56473,0,0.0,2264
BARRIO_PRIORIZADO.1,object,56473,0,0.0,5
MANZANA_DEL_CUIDADO.1,object,56473,0,0.0,5
NUMERO_DE_MANZANA_DEL_CUIDADO.1,object,56473,0,0.0,24
NOMBRE_DE_LA_UT,object,56473,0,0.0,10796
ACOMPAÑAMIENTO_1_-_PERFIL,object,56473,0,0.0,4
