Variable,Faltantes,Porcentaje
SUB-SECCIÓN_=>_INFORMACIÓN_DEL_MENOR_NNA_IDENTIFICADO_COMO_TRABAJADOR,56473,100.0
SUB-SECCIÓN_=>_INFORMACIÓN_DEL_ACUDIENTE,56473,100.0
ÚLTIMA_INTERVENCIÓN,56473,100.0
"SUB-SECCIÓN_=>_INTERVENCIÓN_DE_NIÑO,_NIÑA_O_ADOLESCENTE",56473,100.0
SUB-SECCIÓN_=>_RESULTADOS_DE_LA_REPOSICION,56473,100.0
SUB-SECCIÓN_=>_RESULTADOS_DE_LA_INTERVENCIÓN,56473,100.0
ACOMPAÑAMIENTO_4,56473,100.0
ACOMPAÑAMIENTO_3,56473,100.0
ACOMPAÑAMIENTO_2,56473,100.0
SUB-SECCIÓN_=>_INFORMACIÓN_LABORAL,56473,100.0
ESPECIAL,56441,99.94
ESPECIAL.1,56421,99.91
CATEGORÍAS_DE_LA_DISCAPACIDAD,56300,99.69
TALLA_CM,54593,96.67
PESO,54593,96.67
.PERSONAS_A_CARGO.,52448,92.87
.INFORMACIÓN_DEL_MENOR.,48398,85.7
EDAD,24728,43.79
UPZ/UPR.1,17658,31.27
ADOLESCENTE_TRABAJO_PROTEGIDO.1,14748,26.12
ADOLESCENTE_TRABAJO_PROTEGIDO,11919,21.11
ESTRATO_NUM,11432,20.24
UPZ/UPR,9652,17.09
NNA_DESVINCULADO_DE_LA_ACTIVIDAD_LABORAL,32,0.06
NOMBRE_DE_LA_UT,21,0.04
NNA_DESVINCULADO_DE_LA_ACTIVIDAD_LABORAL.1,9,0.02
NACIONALIDAD,0,0.0
TIPO_INTERVENCIÓN,0,0.0
TIPO_INTERVENCION,0,0.0
PERFIL,0,0.0
RED_FIC,0,0.0
LOCALIDAD_FIC,0,0.0
BASE_ORIGEN,0,0.0
SEXO,0,0.0
POBLACIÓN_DIFERENCIAL_Y_DE_INCLUSIÓN,0,0.0
ETNIA,0,0.0
IDNIVELEDUCATIVO,0,0.0
OCUPACIÓN,0,0.0
FECHA_DE_NACIMIENTO,0,0.0
CURSO_DE_VIDA,0,0.0
ESTADO_CIVIL,0,0.0
FECHA_INTERVENCION,0,0.0
FECHA_DE_LA_ÚLTIMA_INTERVENCIÓN,0,0.0
VEREDA,0,0.0
ESTRATO,0,0.0
SUBGRUPO_SISBEN,0,0.0
NUMERO_DE_MANZANA_DEL_CUIDADO,0,0.0
MANZANA_DEL_CUIDADO,0,0.0
BARRIO,1,0.0
BARRIO_PRIORIZADO,0,0.0
AFILIACIÓN_AL_SGSSS,0,0.0
NOMBRE_EAPB,1,0.0
LOCALIDAD,0,0.0
ZONA,0,0.0
RAZONABANDONOESCOLAR,0,0.0
HABLA_ESPAÑOL,0,0.0
PUEBLO,0,0.0
VÍNCULO_CON_EL_JEFE_DE_HOGAR,0,0.0
GENERO,0,0.0
TEMA_TRATADOS,0,0.0
ALERTAS_PSICOSOCIALES,0,0.0
IEC,0,0.0
CUMPLIÓ,0,0.0
ACOMPAÑAMIENTO_1_-_PERFIL,0,0.0
ESTRATO_SOCIOECONÓMICO,0,0.0
NOMBRE_EAPB.1,2,0.0
LOCALIDAD.1,0,0.0
BARRIO.1,0,0.0
MANZANA_DEL_CUIDADO.1,0,0.0
BARRIO_PRIORIZADO.1,0,0.0
NUMERO_DE_MANZANA_DEL_CUIDADO.1,0,0.0
¿EN_DONDE_REALIZA_PRINCIPALMENTE_SU_TRABAJO?,0,0.0
ZONA.1,0,0.0
AFILIACIÓN_AL_SGSSS.1,0,0.0
FECHA.1,0,0.0
IEC.2,0,0.0
TEMAS_TRATADOS.1,0,0.0
PERFIL.2,0,0.0
CUMPLIÓ.1,0,0.0
ALERTAS_PSICOSOCIALES.1,0,0.0
FECHA,0,0.0
IEC.1,0,0.0
FECHA_SEGUIMIENTO,0,0.0
TEMAS_TRATADOS,0,0.0
PERFIL.1,0,0.0
ALERTAS_PSICOSOCIALES.2,0,0.0
TEMAS_TRATADOS.2,0,0.0
IEC.3,0,0.0
CUMPLIÓ.2,0,0.0
PERFIL.3,0,0.0
ETAPA_DE_GESTACIÓN,0,0.0
ALERTAS_EN_MUJERES,0,0.0
ALERTAS_INFANCIA,0,0.0
ALERTAS_SALUD_BUCAL,0,0.0
ALERTAS_PSICOSOCIALES.3,0,0.0
ALERTAS_EN_NUTRICIÓN,0,0.0
ENFERMEDADES_TRANSMISIBLES_Y_ETV,0,0.0
CONDICIONES_CRÓNICAS,0,0.0
CUMPLIÓ.3,0,0.0
FECHA.2,0,0.0
FECHA_-_SEGUIMIENTO_CIERRE,0,0.0
CLASIFICACIÓN_NUTRICIONAL,0,0.0
ACUDIENTE_AUTORIZA_VERIFICACIÓN_O_TOMA_DE_PESO_Y_TALLA,0,0.0
"INTERVENCIÓN_DE_NIÑO,_NIÑA_O_ADOLESCENTE_QUE_TERMINA_EL_PROCESO",0,0.0
REQUIERE_ASESORÍA_DE_NUTRICIÓN,0,0.0
FECHA_-_REPOSICIÓN_DE_PSICÓLOGO_O_TRABAJADOR_SOCIAL_POSTERIOR_AL_SEGUIMIENTO_-_CIERRE,0,0.0
